
title,price,image
"Lenovo Ideapad V14 Iron Grey Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 256GB M.2 NVMe PCIe, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",26126 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_3386.jpg
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 4GB, 500GB HDD, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",26326 Сом,https://enter.kg//images/stories/virtuemart/product/777777_4720.jpeg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 256GB SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",26326 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_7102.jpg
"Ноутбук Lenovo V15 G2 IJL Intel N4500 (up to 2.8Ghz), 16GB, 256GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus, Black [82QY00PHAK]",26426 Сом,https://enter.kg//images/stories/virtuemart/product/77_3743.png
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 4GB, 1TB HDD, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",26527 Сом,https://enter.kg//images/stories/virtuemart/product/777777_5183.jpeg
"Lenovo Ideapad 3 15ADA6 Arctic Grey AMD 3020e (up to 2.6Ghz), 4GB, 128GB SSD, AMD Radeon™ Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",26527 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_5678.jpg
"Lenovo Ideapad 3 15ADA6 Arctic Grey AMD 3020e (up to 2.6Ghz), 4GB, 500GB, AMD Radeon™ Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",26527 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_7440.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 256GB M.2 NVMe PCIe, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",26527 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_8621.jpg
"Ноутбук Lenovo V15 G2 IJL Intel N4500 (up to 2.8Ghz), 4GB, 500GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus, Black [82QY00PHAK]",26527 Сом,https://enter.kg//images/stories/virtuemart/product/77_1372.png
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 4GB, 256GB SSD, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",26627 Сом,https://enter.kg//images/stories/virtuemart/product/777777_7134.jpeg
"Ноутбук Gateway ULTRA SLIM i3-1115G4 (up to 4.1Ghz), 4GB, 128GB SSD M.2, HD Graphics 620, 15.6"" FULL HD LED, WiFi, BT, Cam, Win11, чехол и мышь в комплекте, серый [GWNC31514-BK]",26627 Сом,https://enter.kg//images/stories/virtuemart/product/2_7041.jpg
"HP 15-dw1495nia (6J5C0EA) N4120 Quadcore 1.1-2.6GHz,8GB,SSD 240GB,15.6"" HD,RU, BLACK",26727 Сом,https://enter.kg//images/stories/virtuemart/product/2_6478.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 1TB + 256GB SSD M.2 NVMe PCIe, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",26727 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_5493.jpg
